,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
0,https://twitter.com/dan_coyle/status/1862493901661090120#m,🚀 Can Rigetti Computing [ $RGTI ] gain momentum or stall out? Dive into a detailed chart analysis and explore its potential for growth.  🎥 Watch now: https://youtu.be/cJyw5sGxkI0?si=8OKFnKp9fAEsn5MI #Stocks #Investing #Trading #RGTI #StockMarket #AI #QuantumComputing,"{'name': 'Dan Coyle', 'username': '@dan_coyle', 'profile_id': '1604932054495404039', 'avatar': 'https://pbs.twimg.com/profile_images/1604932054495404039/8K4EmuA4_bigger.jpg'}","Nov 29, 2024 · 1:48 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
1,https://twitter.com/i2gain/status/1862439543888294069#m,#Nifty 54 min chart - important levels and range.  #Nifty50 #Niftytoday #OptionsTrading #Sensex #StockMarket #Stocks #Relaince #HDFCbank,"{'name': 'Puneet, Low risk options’ combinations,💙', 'username': '@i2gain', 'profile_id': '1193477848029286401', 'avatar': 'https://pbs.twimg.com/profile_images/1193477848029286401/YIAo5rwt_bigger.jpg'}","Nov 29, 2024 · 10:12 AM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/Gdi2k5RWMAEYMdJ.jpg'],[],[]
2,https://twitter.com/i2gain/status/1862465849086681281#m,#BankNifty 54 min chart - important levels and other details.     #NiftyBank #Nifty #HDFCBank #ICICIBank #Nifty #Stocks #StockMArket #OptionsTrading,"{'name': 'Puneet, Low risk options’ combinations,💙', 'username': '@i2gain', 'profile_id': '1193477848029286401', 'avatar': 'https://pbs.twimg.com/profile_images/1193477848029286401/YIAo5rwt_bigger.jpg'}","Nov 29, 2024 · 11:57 AM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GdjOzwZXoAAbGFV.jpg'],[],[]
3,https://twitter.com/Xstockist/status/1856903929415536864#m,THIS TURMOIL CAN SETTLE   IN 2 TO 4 SESSION  AND WE WILL SEE 25500 (100-200 POINT +/-)  IN DECEMBER LAST  #NIFTY WILL HARDLY BREACH MENTIONED LEVELS  #stockmarketcrash #stockmarketsindia #StockMarketUpdate #StockMarket,"{'name': 'Xstockist', 'username': '@Xstockist', 'profile_id': '1860199988929675264', 'avatar': 'https://pbs.twimg.com/profile_images/1860199988929675264/Wx6N1dGB_bigger.jpg'}","Nov 14, 2024 · 3:36 AM UTC",True,False,,[],"{'link': 'https://twitter.com/Xstockist/status/1856628245715959879#m', 'text': '#niftycrash #nifty50 #stockmarketcrash  MUST SEE THIS POST OF 26 SEPTEMBER 👇  https://t.me/StockStationsOfficial/8023', 'user': {'name': 'Xstockist', 'username': '@Xstockist', 'profile_id': '1860199988929675264', 'avatar': 'https://pbs.twimg.com/profile_images/1860199988929675264/Wx6N1dGB_mini.jpg'}, 'date': 'Nov 13, 2024 · 9:20 AM UTC', 'pictures': [], 'videos': [], 'gifs': []}","{'comments': 0, 'retweets': 1, 'quotes': 1, 'likes': 0}",[],[],[]
4,https://twitter.com/MoneycontrolH/status/1862493719460749713#m,"#MarketsWithMC : पिछले साल के मुकाबले 50% तक डिस्काउंट पर मिल रहे ये स्टॉक, क्या आपको निवेश करना चाहिए?  https://hindi.moneycontrol.com/news/markets/stocks-trading-with-discounts-of-up-to-50-percent-from-last-year-prices-should-you-invest-1940432.html @BSEIndia @NSEIndia #sensex #nifty #sharemarket #stockmarket #latestnews #MoneycontrolHindi","{'name': 'Moneycontrol Hindi', 'username': '@MoneycontrolH', 'profile_id': '1158688637732585472', 'avatar': 'https://pbs.twimg.com/profile_images/1158688637732585472/2zGxeAer_bigger.png'}","Nov 29, 2024 · 1:48 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GdjoJ-UW8AApTf5.jpg'],[],[]
5,https://twitter.com/Inc42/status/1862493598836494702#m,"Put on your detective hat, Startup Sherlocks! Can you crack the case and guess the mystery startup behind today’s clue? 🤔  Drop your guesses below!  #startup #guessthestartup #sherlockholmes #Inc42 #startupsherlock #brands #unicorn #India #stockmarket","{'name': 'Inc42', 'username': '@Inc42', 'profile_id': '1788045866034425856', 'avatar': 'https://pbs.twimg.com/profile_images/1788045866034425856/Ar3shyHz_bigger.jpg'}","Nov 29, 2024 · 1:47 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/GdjoDlKWoAAgE7R.jpg'],[],[]
6,https://twitter.com/iTrades12/status/1862493382280400980#m,Can we get some #BlackFriday2024 deals in the #StockMarket today?   Asking for a friend…,"{'name': 'WallStreet StratWizard 🇵🇸', 'username': '@iTrades12', 'profile_id': '1779878000365916160', 'avatar': 'https://pbs.twimg.com/profile_images/1779878000365916160/aB8tGA2o_bigger.jpg'}","Nov 29, 2024 · 1:46 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
7,https://twitter.com/FlashStoX/status/1862493036997222476#m,"ASHOK LEYLAND LTD.  Hinduja Tech completes acquisition of TECOSIM Group, expanding global footprint and strengthening automotive engineering capabilities.  MCap: 68,125.11 Cr.  CMP: 232.00    #ASHOKLEY #Breaking #FlashStox #StockMarket","{'name': 'FlashStox', 'username': '@FlashStoX', 'profile_id': '1736043733354004480', 'avatar': 'https://pbs.twimg.com/profile_images/1736043733354004480/i2IloiKa_bigger.jpg'}","Nov 29, 2024 · 1:45 PM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 0}",[],[],[]
8,https://twitter.com/MySoctr/status/1862493096745050400#m,"#TopGainers of the Day -#Nifty200   Check #trending #chartpatterns and #Updates on my.soctr.in/x and ""follow"" @MySoctr #Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout #nse #breakoutstock #stockmarketindia #sensex #stockideas #Gainers #NiftyMidCap #NiftySmallCap #AdaniGreenEnergy #AdaniGreenEnergyLtd #AdaniEnergyLtd #AdaniEnergy #Fact #BhartiHexacom #BhartihexacomLtd #LicIndia #LicIndiaLtd #FactLtd","{'name': 'Soctr.IN', 'username': '@MySoctr', 'profile_id': '1812895108775485443', 'avatar': 'https://pbs.twimg.com/profile_images/1812895108775485443/hhxgeZJ3_bigger.jpg'}","Nov 29, 2024 · 1:45 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",['https://pbs.twimg.com/media/Gdjnl5BXcAAr4tv.jpg'],[],[]
9,https://twitter.com/MooninPapa/status/1862493035499503828#m,📉 Seeing a pullback in the stock market? Here’s what it could mean for investors and how to stay prepared! 💡 #StockMarket #MarketInsights #thebettertraders,"{'name': 'Aaron Dishner', 'username': '@MooninPapa', 'profile_id': '1488401188949151745', 'avatar': 'https://pbs.twimg.com/profile_images/1488401188949151745/roUPHscu_bigger.jpg'}","Nov 29, 2024 · 1:45 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],['https://video.twimg.com/amplify_video/1862492971133812736/vid/avc1/720x1280/nwt1tAgxnUhTiiW1.mp4?tag=14'],[]
10,https://twitter.com/madhusudhanmy/status/1862492771107340487#m,Our Fourth Podcast. Watch it Now & Learn something unique & useful.  #StockMarket #Nifty50 #Nifty #Sensex #BankNifty #BSE #NSE #Investing #Trading #TechnicalAnalysis #StockMarketNews #FinancialFreedom #Investment #StockTrading #StocksToBuy  Watch it here: https://youtu.be/yZ2ysEVspY0,"{'name': 'Madhu M', 'username': '@madhusudhanmy', 'profile_id': '1570200449340538880', 'avatar': 'https://pbs.twimg.com/profile_images/1570200449340538880/L07zV7LN_bigger.jpg'}","Nov 29, 2024 · 1:44 PM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 2, 'quotes': 1, 'likes': 2}",[],[],[]
11,https://twitter.com/MadridVetInvest/status/1862492999944450177#m,"What #GuruFocus is saying about $TSLA..... yes, OVERVALUED!!  #StockMarket #Investing #Trading #Stocks #Investment #Finance #Money #Nifty #Forex #ShareMarket #Invest #FinancialFreedom #Investor #Business #StockMarketIndia #DayTrader #Crypto #Cryptocurrency #DayTrading #WallStreet #TechnicalAnalysis #SwingTrading #IntradayTrading #StockMarketNews #stocktrading","{'name': 'MadridVetInvestor', 'username': '@MadridVetInvest', 'profile_id': '1853193979715809280', 'avatar': 'https://pbs.twimg.com/profile_images/1853193979715809280/d7VrnKiw_bigger.jpg'}","Nov 29, 2024 · 1:45 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",['https://pbs.twimg.com/media/GdjnZrkXgAAYWRp.jpg'],[],[]
12,https://twitter.com/time2trend/status/1862492910991941739#m,What’s wrong with #TATAMOTORS shares? ..…falling 😢 #StockMarket #India,"{'name': 'Dr.Deepak Yadav', 'username': '@time2trend', 'profile_id': '1158797027930603520', 'avatar': 'https://pbs.twimg.com/profile_images/1158797027930603520/-LtMtB7D_bigger.jpg'}","Nov 29, 2024 · 1:44 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
13,https://twitter.com/ndtvindia/status/1862402040011661711#m,"पाकिस्तान स्टॉक मार्केट ने रचा इतिहास! 1 लाख प्वाइंट्स के पार, असली सच्चाई क्या है?  #Pakistan | #StockMarket","{'name': 'NDTV India', 'username': '@ndtvindia', 'profile_id': '1800111671827890176', 'avatar': 'https://pbs.twimg.com/profile_images/1800111671827890176/kagL3ykh_bigger.jpg'}","Nov 29, 2024 · 7:43 AM UTC",True,False,,[],{},"{'comments': 11, 'retweets': 7, 'quotes': 0, 'likes': 43}",[],['https://video.twimg.com/ext_tw_video/1862401788105682944/pu/vid/avc1/1280x720/HU3bYFrUu4sqF7XX.mp4?tag=12'],[]
14,https://twitter.com/stockaajorkal/status/1862492877034582075#m,"India Reports 5.4 % GDP Growth In Q2 V 7.6 % IN Q2 Fy24 , Below Analyst Estimates Of 6.5 %; Slowest GDP Growth In Last 7 Quarters  . . #stockmarket #stocks #finance #money #reels #investment #portfolio #nifty #banknifty","{'name': 'Stock aaj or kal', 'username': '@stockaajorkal', 'profile_id': '1779008920901881857', 'avatar': 'https://pbs.twimg.com/profile_images/1779008920901881857/NmWkwK77_bigger.jpg'}","Nov 29, 2024 · 1:44 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}",['https://pbs.twimg.com/media/GdjnZrBXYAMR5Eb.jpg'],[],[]
15,https://twitter.com/Pradipkuma1050/status/1862492868939481419#m,1/2 When will mutual fund scam is going to stop??? Why  are they buying when fundamentals already deteriorated which common man is aware. Of course fund houses also….why are funds giving better exit to FIIs.  #nifty #banknifty #StockMarket #NSEIndia,"{'name': 'Pradipkumar Raut', 'username': '@Pradipkuma1050', 'profile_id': '1731024824393510912', 'avatar': 'https://pbs.twimg.com/profile_images/1731024824393510912/WJtPJ2Ps_bigger.jpg'}","Nov 29, 2024 · 1:44 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
16,https://twitter.com/danongnya73993/status/1862492722734784996#m,"Start your trading journey today and watch how the right strategy can change the game! 💹🔑 #TradingSuccess""  Hashtag: #Trading #Investing #StockMarket #Forex #Crypto #TraderLife #FinancialIndependence #TradingTips #EuropeanTraders #InvestSmart","{'name': 'memecoin call empire', 'username': '@danongnya73993', 'profile_id': '1861564058266443776', 'avatar': 'https://pbs.twimg.com/profile_images/1861564058266443776/EhlHo7M__bigger.jpg'}","Nov 29, 2024 · 1:44 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],['https://video.twimg.com/ext_tw_video/1862492697547718656/pu/vid/avc1/576x1024/MJ8C1mjXTeDqhrNQ.mp4?tag=12'],[]
